faculty,degree,curriculum,docx_id,pdf_id,chunk1_start,chunk1_end,chunk2_start,chunk2_end,chunk3_start,chunk3_end,chunk4_start,chunk4_end
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ.วิศวกรรมโยธา 66,,15yssTqxLl0BYLGyTkOA8MzKcNJOxvOVa,1,10,10.0,21.0,25.0,75.0,76,86
คณะวิศวกรรมศาสตร์,ตรี,TEP วศ.บ.ไฟฟ้า 68,1MKhvHm3I_F6Nm_9uXH3C631po8qaoTAd,15mqOcgKPnCLX-4A6GVlp06_NeJ17Trpd,1,8,8.0,19.0,22.0,87.0,89,100
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ.วิศวกรรมอุตสาหการ 66,1cVMEsnqK6Pm-EsHzflIREyCIfzTX7DyL,1iYBoehlf_SQVAZTlukVb6x9RUJb9eZHt,1,9,9.0,19.0,24.0,71.0,73,85
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ.วิศวกรรมไฟฟ้า 66,1VAiy8yFAr8vY-Vs8ybEwF0wzLb8QOQSg,1OO9p6dBeKxYT4iIJp4IzbknCwYokvUAb,1,8,8.0,19.0,28.0,76.0,78,88
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ.วิศวกรรมเครื่องกล 66,,1FjDCpOciwFTPR9iAwKrlUK1p9d8J7Bei,1,9,9.0,19.0,25.0,70.0,72,80
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ. วิศวกรรมยานยนฯ 66,1F4Z0HLBznlieWUbD2XAHfWGYVctJEzQS,14TrrYbRLeHyIe-PW5AzV_ZleFsFfU0LN,1,9,9.0,18.0,24.0,58.0,60,70
คณะวิศวกรรมศาสตร์,ตรี,TU PINE วศ.บ.ไฟฟ้าเเละการจัดการอุตสาหกรรม 66,1Bbt1kG5HV9scU-aNuGPpf4ZSMW2Om_n1,1MoE_b1q_r-2k0gE1z3Qt4D_8CGvUlp_k,1,10,10.0,18.0,24.0,48.0,50,59
คณะนิติศาสตร์,ตรี,นิติศาสตรบัณฑิต ศูนย์ลำปาง (ปรับปรุง 66),134ZzCyF3WCuaY71Umb7x43v9tJZCgKUg,1SzWJfcNKmGgCTsY9xbRKTzboS0tXDnjM,1,13,13.0,30.0,32.0,94.0,96,107
คณะนิติศาสตร์,ตรี,นิติศาสตรบัณฑิต ท่าพระจันทร์ (ปรับปรุง 66),1nRX0lUPE5gGKakAtEGhpXmNgc1WXJhb3,12u2dK_HTN5NvNRmcX637K5ifcx67AXlZ,1,13,13.0,29.0,31.0,92.0,94,104
คณะนิติศาสตร์,ตรี,นิติศาสตรบัณฑิต ศูนยรังสิต (ปรับปรุง 66),1GqjYPRhfG-lxa-twAhKG0bwu3LKIYw1H,1_mDZNjI3EqFdWs0qD0RrT4EwcFbo-3p0,1,13,13.0,30.0,32.0,94.0,96,107
คณะนิติศาสตร์,ตรี,น.บ. กฎหมายธุรกิจ (นานาชาติ-ปรับปรุง 66),1dqBCvgsVemkwXwA2kmqWe_MYs9f0wlK8,1C4dLQvT0pz_kuiPEXMvk-48AlSX2t8XR,1,11,11.0,22.0,23.0,71.0,73,81
คณะศิลปศาสตร์,ตรี,7.ศศ.บ.อังกฤษ-อเมริกันศึกษา(นานาชาติ-ปรับปรุง พ.ศ.2566),1Nsm5Febp5gYyPekeJkfeJ3v1woXDjLsp,1X2MtOzAXAbZLXry9bQg3I_d0ox5DIN24,1,12,12.0,23.0,25.0,59.0,62,74
คณะศิลปศาสตร์,ตรี,3.ศศ.บ.ภาษาอังกฤษ (ปรับปรุง พ.ศ.2566),1JQpdM6xFxI5jQVnzjCgJ9yXdjdnxvtnN,1fW-HhXvs42fuWO7aQSqI6tZf2gi440nP,1,11,11.0,19.0,21.0,37.0,40,49
คณะศิลปศาสตร์,ตรี,8.ศศ.บ.การสื่อสารเชิงธุรกิจ(นานาชาติ-ปรับปรุง พ.ศ.2566),1yy_-WG_V-eRW8CkXF2wtVAjPcxcgwHJG,1hF6ZGIkZzfP6-c-LIlCDrY7ZW4DO6wRQ,1,12,12.0,25.0,33.0,68.0,71,85
คณะศิลปศาสตร์,ตรี,5.วท.บ.ภูมิศาสตร์และภูมิสารสนเทศ (ปรับปรุง พ.ศ.2566),1TwwOOtO2o5SnPivg7Ft8aQ6WiTTAPol9,1RhEGh_nLVvrkloBsbzCVJL43F17KwfID,1,12,12.0,17.0,25.0,42.0,46,63
คณะศิลปศาสตร์,ตรี,1.วท.บ.จิตวิทยา (ปรับปรุง พ.ศ.2566),17tY7eqOCQACnQN7qY3qPBtFPDqaEnIiJ,1IbNwl336EH8H_v9zVRgK5kXARIW93LkF,1,10,10.0,20.0,22.0,43.0,46,59
คณะศิลปศาสตร์,ตรี,2.ศิลปศาสตรบัณฑิต (ปรับปรุง พ.ศ.2566),1htAmfKkQpgIbFuLtibiCNh7Kiisa6enQ,1ttaEwUCW7Lae1Sbb4V24Xgvp9IMDf3Sk,1,39,39.0,108.0,,,333,354
คณะศิลปศาสตร์,ตรี,6.ศศ.บ.อาณาบริเวณศึกษา (ปรับปรุง พ.ศ.2566),10cQoVYZH-vY1_6AwZeMmqv66LMLqTOtV,1C4aXUATXT9mD7RommkspFEo5aFMw7kbK,1,11,11.0,30.0,36.0,90.0,94,104
คณะศิลปศาสตร์,ตรี,4.ศศ.บ.ภาษาไทย (ปรับปรุง พ.ศ.2566),15rTt7XGPQ9FBcB7fx2k-BH_u31Dc-HNd,1LU-dLDUlqeCORhlA-IuZwtBowFnzwdY1,1,9,9.0,18.0,20.0,39.0,42,53
คณะศิลปศาสตร์,ตรี,9.ศศ.บ.การแปลและล่ามในยุคดิจิทัล (ปรับปรุง พ.ศ.2566),17H6vCtIE1at0Agug3_TjqKfoUJmx0Sst,1-LHKks8IO_7Qm2foPlpRcxz89Q3hNUlQ,1,9,9.0,20.0,22.0,54.0,59,69
คณะรัฐศาสตร์,ตรี,รัฐศาสตรบัณฑิต (ปรัปบปรุง 2566),1FIPEcZcBAcgUl50qGsYhMzV3S2-kZsvm,1byv8ozy6xZdm1F_vp1RKD4v7AwY5dL_O,1,10,10.0,26.0,29.0,97.0,99,111
คณะรัฐศาสตร์,ตรี,ร.บ. การเมืองและการระหว่างประเทศ (นานาชาติ)  (ปรับปรุง 2568),1La1lpKetCtQxGntIVjm7dLNjRDmawsPR,1d_IETykIwkWCHcrOu3H-jpsJSz_AK1zy,1,11,11.0,53.0,65.0,185.0,188,202
วิทยาลัยแพทยศาสตร์นานาชาติจุฬาภรณ์,ตรี,พบ-วท.บ.วิทยาศาสตร์การแพทย์(interใหม่67),,1T1sfYBPrpOLlKnFFETIlweBnKnpIQyhQ,1,32,32.0,48.0,54.0,110.0,133,162
วิทยาลัยแพทยศาสตร์นานาชาติจุฬาภรณ์,ตรี,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),1PY0E5naQpalxJzIWXuwmZSwPfLwmMQG9,1_XtVsUm6Nt09Fq2MbaLY___9kXUx6M3u,1,15,,,39.0,88.0,97,128
วิทยาลัยแพทยศาสตร์นานาชาติจุฬาภรณ์,ตรี,ทัศนมาตรศาสตรบัณฑิต(นานาชาติ-ปรับปรุง66)-กมอ.1-68(1-68(8ม.ค.68),1LB7hixEL-lnNPoQ_5LslTdKVB8UXxdxK,1ndbCja02eg9yzQI2YyKeBI9qOnEhN6Hr,1,11,11.0,19.0,23.0,54.0,62,77
วิทยาลัยแพทยศาสตร์นานาชาติจุฬาภรณ์,ตรี,การแพทย์แผนจีนบัณฑิต66-กมอ.7-67,1WeLFX1K4_-qgwILF1Ap4p-w_3wSU2wRZ,1Oj3CAOggMKSqHo3pW2PaM6ZzoEv0_gnH,1,15,15.0,24.0,30.0,57.0,63,85
วิทยาลัยนานาชาติปรีดี พนมยงค์,ตรี,ปริญญาตรี - ศศ.บ.ไทยศึกษา,1aUAaaJJkqvSN4JM4wuAK0L4KG1GsOEKA,1Rm5f4zhXi7EQK-vSBUqWjMTljk8iD7Sm,1,9,9.0,27.0,35.0,115.0,118,130
วิทยาลัยนานาชาติปรีดี พนมยงค์,ตรี,ปริญญาตรี - ศศ.บ.จีนศึกษา,14kz99PRSYEVq55rfAOaOOH-ieuWa0ilO,1q3jblb8uHlN9EAd3MRjihi6KhoUDzmxb,1,11,11.0,28.0,31.0,77.0,79,90
คณะวารสารศาสตร์และสื่อสารมวลชน,ตรี,วารสารศาสตรบัณฑิต สื่อศึกษา (นานาชาติ) (ปรับปรุง 2566),1vtx5Gkf-MyWqWRamIn4kp7HJaa7wPCyD,1Ilv6_ptkZI4GFqFV0EK5HchcF4VlHLZD,1,9,9.0,20.0,22.0,59.0,61,76
คณะวารสารศาสตร์และสื่อสารมวลชน,ตรี,วารสารศาสตรบัณฑิต (ปรับปรุง 2566),1YndtZ8-qYyQDaoejXU5TUP5GGO8vs6DC,15qdkfv_hkUbpqVM1Rsha8vKer-lAgR73,1,9,9.0,29.0,31.0,102.0,104,125
คณะแพทยศาสตร์,ตรี,2.แพทยศาสตรบัณฑิต (หลักสูตรภาษาอังกฤษ-หลักสูตรปรับปรุง พ.ศ. 2568),1jJzLUnwXgHQkIAnxCPMtB_5DuFGFVowl,1JIDs_Q-zWAu5Raj3Vk3nFFRrnVJ88rwQ,1,19,19.0,31.0,33.0,82.0,86,112
คณะแพทยศาสตร์,ตรี,1.แพทยศาสตรบัณฑิต (หลักสูตรปรับปรุง พ.ศ.2568),1oljPrlR1563_V564ZC-b84hABoSrLh22,1ykT5eGUG_8-UZf0ZHyut1ouVPubo9eTN,1,21,21.0,34.0,37.0,93.0,97,120
คณะแพทยศาสตร์,ตรี,4.การแพทย์แผนไทยประยุกต์บัณฑิต (หลักสูตรใหม่ พ.ศ.2569) ศูนย์ลำปาง,1czInVZv9jZU9F834BJAuGX6U3oKNxe4v,1I9qBUchBydejWwGgbkpC-IdZFvfg61G-,1,15,15.0,23.0,26.0,53.0,73,87
คณะแพทยศาสตร์,ตรี,3.การแพทย์แผนไทยประยุกต์บัณฑิต (หลักสูตรปรับปรุง พ.ศ.2566),15wvKVmlsBlMxW7Mo_dYP5c7H8BK3MN_o,1ILhBx9fweBqfitIQ9_2LokTeijiC3LtH,1,22,22.0,29.0,32.0,54.0,62,72
วิทยาลัยพัฒนศาสตร์ ป๋วย อึ๊งภากรณ์,ตรี,ศศบนวัตกรรมการพัฒนามนุษย์66ป๋วย,1_RY8m5V_CFI6K5v8tr17WrPSgr3tP61t,1Xlsqq3uIACYUSGZYfpewhW33DtjgKc4U,1,10,10.0,22.0,24.0,60.0,64,73
