faculty,degree,curriculum,docx_id,pdf_id,chunk1_start,chunk1_end,chunk2_start,chunk2_end,chunk3_start,chunk3_end,chunk4_start,chunk4_end
สถาบันภาษา,ตรี,วิชาโทภาษาอังกฤษเพื่อการสื่อสารเชิงวิชาชีพ (ปรับปรุง 2566),1_LM_kU4C6tOVf9VWkdy1zLGQFBIxgCvj,1DGVjkQeqDICh6oc1T63Q3XqCCauTz53Q,1,8,8.0,12.0,12.0,23.0,26,47
คณะพาณิชยศาสตร์และการบัญชี,ตรี,บริหารธุรกิจบัณฑิต (นานาชาติ-ปรับปรุง 66),1OVcxlA3SyokhED7-kXgie8QAkNzKf7EI,1fgle0Q9ifR_dixqgti-kE-2llOJnwrYw,1,9,9.0,30.0,39.0,103.0,108,122
คณะพาณิชยศาสตร์และการบัญชี,ตรี,บัญชีบัณฑิต (ปรับปรุง 66),1Lk5TKHZcBUBtXQZ6J6YmUjVtOxefwd1w,1YPKrswnmKqf337GhSmNv6PyzWewfejg7,1,14,14.0,31.0,36.0,96.0,109,122
คณะพาณิชยศาสตร์และการบัญชี,ตรี,ควบ บธ.บ. สาขาวิชาการจัดการธุรกิจแบบบูรณาการ (ปรับปรุง 66),1tDyoCs7EOOjd4XUfnJAG-FHSuho5QKHG,1ti-65je1J2x-HeBe48GVU5cHKDMmefEo,1,10,10.0,18.0,22.0,47.0,53,63
คณะพาณิชยศาสตร์และการบัญชี,ตรี,ควบ บช.บ. สาขาวิชาการบัญชีธุรกิจแบบบูรณาการ (ปรับปรุง 66),1sf605UFcV5tQDX-STOR7gHVIiUAxi0iS,1enWMnh7EgR390LzDqERtgv4lV1H1OMNy,1,9,9.0,16.0,18.0,41.0,46,56
คณะพาณิชยศาสตร์และการบัญชี,ตรี,บัญชีบัณฑิต (นานาชาติ-ปรับปรุง 66),1ENUaKAImSNwzqkj3b-AZ69hNhiME2sZU,1RbpBSVQetmW_xfClKC9velvUgMpRy5_B,1,14,14.0,31.0,36.0,96.0,109,121
คณะพาณิชยศาสตร์และการบัญชี,ตรี,ควบ บธ.บ. สาขาวิชาการจัดการธุรกิจแบบบูรณาการ (นานาชาติ-ใหม่ 2569),1YdOY2wg1GDA06NiKhMFAIsEG9158IfcA,1BuRHEYFGX0uQRJaiAG_Wo8TLnuZfxIZa,1,14,14.0,22.0,26.0,51.0,71,85
คณะพาณิชยศาสตร์และการบัญชี,ตรี,บริหารธุรกิจบัณฑิต (ปรับปรุง 66),1MUOet_7F7i50RMviqsJZV2s-y9a6rS2r,1_3kvrlNYZBZ6RrASrEcQQXZdI7QdcMQV,1,10,10.0,69.0,93.0,199.0,204,222
คณะสังคมวิทยาและมานุษยวิทยา,ตรี,2.สม.บ.การวิจัยทางสังคม (ปรับปรุง พ.ศ.2566),1_7NihGpTBtcK4x9NXgN6WSA2iLcwYOYQ,1ANeZuC333qLTZjatZKKKh2ZeX52a6h8J,1,10,10.0,22.0,6.0,68.0,71,85
คณะสังคมวิทยาและมานุษยวิทยา,ตรี,1.สม.บ.สังคมวิทยาและมานุษยวิทยา (ปรับปรุง พ.ศ.2566),11j_CDP9Ccx4rA5cVcKSbG4sUIIJ9wIoC,1dEPX67WppSsd5gANV9R1Sd2WzBcwRpYH,1,10,10.0,26.0,6.0,72.0,75,89
คณะวิทยาการเรียนรู้และศึกษาศาสตร์,ตรี,ศศ.บ.วิทยาการเรียนรู้,1YWnbcFOdQ2Efvt2lgQ4CyYmXwIoeOjFp,1M4gqinQvBJeTEWIYvoNt-eqRAgKfkbgp,1,11,11.0,18.0,20.0,39.0,47,56
คณะวิทยาการเรียนรู้และศึกษาศาสตร์,ตรี,ศศ.บ.ศักยภาพมนุษย์และสุขภาวะ,1BobjyZ4ePEonAw2-AksVZwzEx5OXoSFD,1EnjPZeeDrSA8ihlqJfHVhAg84uwkXQ2k,1,13,13.0,24.0,26.0,53.0,75,89
คณะสาธารณสุขศาสตร์,ตรี,2. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย  (ปรับปรุง 2566) ศูนย์รังสิต,1qDZgan7JbsZkl5oGfH-C86gB1zrUT9wZ,1my8o_2v0egrGrEkEvTu9188Y51AOfzPJ,1,10,10.0,19.0,23.0,54.0,62,75
คณะสาธารณสุขศาสตร์,ตรี,6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),1OuKJIjLB_AEUp5IslVL932LnspOc-mrU,1mMwFi73QRSlEF8A9RShVNATzfFG3kcwZ,1,9,9.0,18.0,22.0,49.0,52,62
คณะสาธารณสุขศาสตร์,ตรี,4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,1Dtn0zD0QhvmxYEV0fYdFgL4bWHDLqBoA,1xZ0_tZsFOQtJ4VoPtjckPEBX92nLeA23,1,10,10.0,19.0,23.0,52.0,56,70
