curriculum,qualification_responsible_position,name_responsible,degree_reponsible,program_responsible,institute_responsible,year_graduate_responsible
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์ ดร.,กฤษณะ พันธ์เพ็ง,Ph.D.,Drama,"University of Exeter, England.",2555
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์ ดร.,กฤษณะ พันธ์เพ็ง,ศศ.ม.,การจัดการทางวัฒธรรม,จุฬาลงกรณมหาวิทยาลัย,2549
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์ ดร.,กฤษณะ พันธ์เพ็ง,B.A.,Drama and Theatre Studies,"Royal Holloway and Bedford New College to the University of London, England.",2547
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),อาจารย์ ดร.,ณวดี เศรษฐเมธีกุล,Ph.D.,Drama,"University of Exeter, England.",2565
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),อาจารย์ ดร.,ณวดี เศรษฐเมธีกุล,M.A.,Theatre Practice,"University of Exeter, England.",2545
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),อาจารย์ ดร.,ณวดี เศรษฐเมธีกุล,ศป.บ.,การละคอน,มหาวิทยาลัยธรรมศาสตร์,2543
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์,ศรุพงษ์ สุดประเสริฐ,ศศ.ม.,ดนตรี,มหาวิทยาลัยมหิดล,2553
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์,ศรุพงษ์ สุดประเสริฐ,ว.บ.,บริหารการสื่อสาร,มหาวิทยาลัยธรรมศาสตร์,2547
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์,สรรพจน์ มาพบสุข,ศป.ม.,ประยุกตศิลปศึกษา,มหาวิทยาลัยศิลปากร,2546
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์,สรรพจน์ มาพบสุข,ศป.บ.,ประยุกตศิลปศึกษา,มหาวิทยาลัยศิลปากร,2541
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์,ศิรินทร์ ใจเที่ยง,สม.ม.,มานุษยวิทยา,มหาวิทยาลัยธรรมศาสตร์,2544
ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),ผู้ช่วยศาสตราจารย์,ศิรินทร์ ใจเที่ยง,ศศ.บ.,การละคอน,มหาวิทยาลัยธรรมศาสตร์,2532
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,พิทักษ์ศักดิ์ ทิศาภาคย์,Ph.D.,Media Studies,"School of Oriental and African Studies, UK",2558
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,พิทักษ์ศักดิ์ ทิศาภาคย์,M.A.withMerit,New Media andSociety,"University of Leicester, UK",2554
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,พิทักษ์ศักดิ์ ทิศาภาคย์,M.A.,MassCommunication,"Thammasat University,Thailand",2546
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,พิทักษ์ศักดิ์ ทิศาภาคย์,B.A.,AdministrationRadio andTelevision,"Thammasat University,Thailand",2542
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,อีสวาน ราโด,Ph.D.,Political Science,"University of Vienna, Austria",2558
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,อีสวาน ราโด,Mag.rer.soc.oec(Master’sdegreeequivalent),Socio-Politics,"University of Linz, Austria",2549
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,เช็ค โมหมัด อัลตาเฟอร์ รามัน,Ph.D.,Human Rights and Peace Studies,"Mahidol University, Thailand",2552
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,เช็ค โมหมัด อัลตาเฟอร์ รามัน,M.A.,Human Rightsand SocialDevelopment,"Mahidol University, Thailand",2547
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,เช็ค โมหมัด อัลตาเฟอร์ รามัน,LL.M.,Law,"Chittagong University,Bangladesh",2543
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,ปิยะสุดา เพ่งสภา,Ph.D.,Sociology,"Binghamton University, State University of New York Harpur College of Art & Sciences, U.S.A.",2544
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,ปิยะสุดา เพ่งสภา,M.A.,Sociology,"Brandeis University,Waltham, MassachusettsGraduate School of Arts &Sciences, U.S.A.",2537
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ผู้ช่วยศาสตราจารย์,ปิยะสุดา เพ่งสภา,B.A.,Sociology,"University at Albany, StateUniversity of New York,College of Art & Sciences,U.S.A.",2535
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ศาสตราจารย์,นันทวรณ วิจิตรวาทการ,Dr.P.H.,Public Health,"School of Public Health, University of California at Los Angeles, USA.",2530
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ศาสตราจารย์,นันทวรณ วิจิตรวาทการ,M.P.H,Public Health,"School of Public Health,University of California atLos Angeles, USA,",2537
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ศาสตราจารย์,นันทวรณ วิจิตรวาทการ,M.Sc.,Bio-statistics &Epidemiology,"California State University,Northridge, California, USA",2521
270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),ศาสตราจารย์,นันทวรณ วิจิตรวาทการ,B.Sc.,Biology,"University of California atLos Angeles, USA",2518
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,กฤตพร ห้าวเจริญ,ผ.ด.,การวางแผนภาคและเมือง,จุฬาลงกรณ์มหาวิทยาลัย,2555
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,กฤตพร ห้าวเจริญ,ผ.ม.,การวางผังเมือง,จุฬาลงกรณ์มหาวิทยาลัย,2546
